,id,brand,category,rating,number_of_reviews,love,price,value_price,MarketingFlags,details,how_to_use,ingredients,online_only,exclusive
6823,1359322,226,17,5.0,7,696,23.0,23.0,1,178,15,0,1,0
6824,2320513,226,29,0.0,0,12,112.0,201.0,1,600,752,0,1,0
6825,1915024,226,28,8.0,224,694,75.0,75.0,0,522,15,0,0,0
6826,2032589,226,28,5.0,5,531,70.0,70.0,0,546,15,0,0,0
6827,1359314,226,17,5.0,3,669,23.0,23.0,1,581,15,0,1,0
6828,966572,226,28,8.0,39,1500,68.0,68.0,0,338,15,0,0,0
6829,2099844,226,28,8.0,246,353,90.0,90.0,0,386,15,0,0,0
6830,1502418,226,38,7.0,38,2600,23.0,23.0,1,360,15,0,1,0
6831,1519529,226,28,8.0,4,434,85.0,85.0,0,279,752,1,0,0
6832,2175883,226,28,5.0,3,260,77.0,77.0,1,596,752,0,0,0
6833,873133,226,17,5.0,3,424,23.0,23.0,0,178,15,0,0,0
6834,2320505,226,29,0.0,0,70,99.0,149.0,1,418,752,0,1,0
6835,2209518,227,3,5.0,8,2900,220.0,220.0,1,444,794,0,1,0
6836,2209500,227,3,5.0,7,1800,290.0,290.0,1,619,789,0,1,0
6837,2209526,227,3,8.0,8,2300,160.0,160.0,1,815,514,0,1,0
6838,2330470,227,66,0.0,0,412,280.0,280.0,1,1306,251,0,1,0
6839,2046639,222,138,7.0,636,41300,38.0,38.0,0,1526,559,1,0,0
6840,2339836,222,116,5.0,24,4300,49.0,49.0,0,1196,304,1,0,0
6841,2287936,222,140,8.0,4,2800,42.0,61.0,1,1778,730,1,0,1
6842,2114577,222,116,7.0,676,18800,49.0,49.0,0,2285,182,1,0,0
6843,2154458,222,55,8.0,1000,45400,58.0,58.0,0,1296,352,1,0,0
6844,1912013,222,55,8.0,425,24000,48.0,48.0,0,1794,679,1,0,0
6845,2139970,222,118,8.0,222,20300,48.0,48.0,0,1810,104,1,0,0
6846,2287126,222,57,8.0,461,19800,45.0,45.0,0,1947,234,1,0,0
6847,2114585,222,62,8.0,363,13900,32.0,32.0,0,1735,90,1,0,0
6848,2176642,222,10,8.0,110,6000,20.0,20.0,0,1173,178,1,0,0
6849,2114544,222,62,8.0,421,11000,32.0,32.0,0,1764,149,1,0,0
6850,2154425,222,19,8.0,65,7500,28.0,28.0,1,2134,151,1,1,0
6851,2046647,222,13,7.0,82,13200,42.0,42.0,0,2047,727,1,0,0
6852,2176634,222,60,6.0,223,11100,38.0,38.0,0,2529,357,1,0,0
6853,2154441,222,58,7.0,173,13600,52.0,52.0,0,1924,93,1,0,0
6854,2114536,222,116,7.0,336,1500,42.0,42.0,0,1098,217,0,0,0
6855,1431436,222,58,7.0,122,11900,69.0,69.0,0,1752,323,1,0,0
6856,2170322,222,116,7.0,33,5400,48.0,48.0,0,1579,131,1,0,0
6857,2301935,222,140,6.0,45,9600,30.0,50.0,0,2188,503,1,0,0
6858,2114486,222,45,7.0,58,4500,44.0,44.0,0,654,107,1,0,0
6859,2324895,222,140,8.0,4,1600,27.0,38.0,1,1669,456,1,0,1
6860,1671270,222,58,7.0,228,13800,62.0,62.0,0,1823,226,1,0,0
6861,1857861,222,58,8.0,136,8600,48.0,48.0,0,1866,186,1,0,0
6862,2114528,222,116,8.0,276,6900,58.0,58.0,0,855,66,1,0,0
6863,2087880,222,124,8.0,20,3700,49.0,49.0,1,2384,318,1,1,0
6864,2087898,222,13,8.0,10,4300,52.0,52.0,1,1897,181,1,1,0
6865,2046621,222,90,8.0,88,10000,25.0,25.0,0,1914,199,1,0,0
6866,2192714,222,62,8.0,190,5900,33.0,33.0,0,1208,510,0,0,0
6867,2205664,222,62,7.0,300,9400,32.0,32.0,0,1078,429,1,0,0
6868,986273,222,55,7.0,127,8800,42.0,42.0,0,658,180,1,0,0
6869,2114494,222,116,7.0,58,5600,69.0,69.0,0,1076,225,1,0,0
6870,2324903,222,62,5.0,1,881,28.0,28.0,1,976,157,0,0,1
6871,986315,222,19,7.0,30,4400,30.0,30.0,1,717,58,1,1,0
6872,1507680,222,13,7.0,11,2800,68.0,68.0,1,560,104,1,1,0
6873,1507698,222,8,6.0,20,5200,48.0,48.0,1,642,132,1,1,0
6874,2321479,222,62,7.0,58,2100,32.0,32.0,1,1558,512,1,0,1
6875,1804731,222,45,6.0,67,5800,46.0,46.0,0,2072,195,1,0,0
6876,2114551,222,62,7.0,290,5500,32.0,32.0,0,748,168,1,0,0
6877,1149277,222,58,8.0,98,2500,80.0,80.0,0,1126,268,1,0,0
6878,1580109,222,58,7.0,180,7000,48.0,48.0,0,1422,547,1,0,0
6879,2114593,222,116,8.0,145,3300,42.0,42.0,0,535,72,1,0,0
6880,986349,222,13,7.0,12,1600,46.0,46.0,1,469,63,1,1,0
6881,2114601,222,45,6.0,148,3500,36.0,36.0,0,671,140,1,0,0
6882,1585660,222,116,8.0,20,1800,54.0,54.0,0,615,82,1,0,0
6883,1737238,228,91,8.0,221,13900,42.0,42.0,0,1195,197,1,0,0
6884,1737220,228,123,7.0,56,7800,72.0,72.0,0,1372,200,1,0,0
6885,2068922,228,140,7.0,16,2300,91.0,114.0,1,2016,303,1,1,1
6886,1737246,228,33,7.0,18,1100,40.0,40.0,0,1430,103,1,0,0
6887,1737212,228,127,6.0,30,1400,38.0,38.0,0,1702,262,1,0,0
6888,1832377,228,77,7.0,24,3900,52.0,52.0,0,1235,281,1,0,0
6889,1786672,228,85,8.0,17,1400,36.0,36.0,0,1018,338,1,0,0
6890,1927094,228,85,7.0,20,1900,34.0,34.0,0,1267,324,1,0,0
6891,1765551,229,30,7.0,1000,13700,25.0,25.0,0,775,374,1,0,0
6892,1765528,229,76,7.0,117,5100,42.0,42.0,0,903,226,1,0,0
6893,1765460,229,123,6.0,51,3800,30.0,30.0,0,819,138,1,0,0
6894,1765452,229,33,7.0,30,1300,26.0,26.0,0,832,222,1,0,0
6895,1765445,229,127,7.0,61,1800,26.0,26.0,0,881,213,1,0,0
6896,1833532,318,32,7.0,516,51700,36.0,36.0,0,792,192,1,0,0
6897,1833508,318,89,8.0,348,49100,38.0,38.0,0,839,116,1,0,0
6898,1902618,318,100,7.0,90,41900,36.0,36.0,1,961,235,1,1,0
6899,2354272,318,140,0.0,0,2400,48.0,80.0,1,1277,944,1,1,0
6900,2315828,318,89,7.0,35,4600,25.0,25.0,1,1618,236,1,0,1
6901,1902725,318,53,6.0,95,28400,28.0,28.0,1,598,134,1,1,0
6902,2328102,318,89,5.0,4,1800,40.0,40.0,1,1180,166,1,0,1
6903,2255792,318,70,6.0,46,6800,52.0,52.0,1,1001,161,1,1,0
6904,2165991,318,99,7.0,21,7400,35.0,35.0,1,1115,257,1,1,0
6905,1833565,318,20,8.0,111,10700,28.0,28.0,0,872,137,1,0,0
6906,1902782,318,126,7.0,48,8000,34.0,34.0,1,626,101,1,1,0
6907,2193233,318,126,8.0,34,7800,38.0,38.0,0,861,283,1,0,0
6908,2022382,318,103,6.0,55,16600,28.0,28.0,1,807,69,1,1,0
6909,1833599,318,56,8.0,71,10800,78.0,78.0,1,1140,231,1,1,0
6910,1833607,318,110,6.0,75,4100,16.0,16.0,1,789,304,1,1,0
6911,2193241,318,12,7.0,32,5400,24.0,24.0,0,1248,243,1,0,0
6912,1952001,318,109,7.0,53,4900,44.0,44.0,1,1311,15,1,1,0
6913,1833581,318,54,7.0,38,9000,38.0,38.0,0,656,15,1,0,0
6914,1902766,318,126,6.0,39,7000,34.0,34.0,0,979,137,1,0,0
6915,2122950,318,9,7.0,9,1600,64.0,64.0,1,1504,308,1,1,0
6916,1902816,318,20,7.0,33,4500,28.0,28.0,1,1157,197,1,1,0
